ParishID,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday
61,"5:30 PM, 8:30 AM","8:00 AM, 10:00 AM, 12:00 PM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM"
62,5:30 PM,"{'Regular': '8:00 AM, 10:00 AM, 12:00 PM', 'Summer': '9:00 AM, 11:30 AM'}",12:00 PM (Monday through Friday),12:00 PM (Monday through Friday),12:00 PM (Monday through Friday),12:00 PM (Monday through Friday),12:00 PM (Monday through Friday)
63,4:00 PM,"8:00 AM, 10:00 AM, 12:00 PM, 6:00 PM",8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM
64,"7:30 AM, 5:00 PM","7:30 AM, 9:30 AM, 11:30 AM, 5:00 PM","7:00 AM, 12:00 PM","7:00 AM, 12:00 PM","7:00 AM, 12:00 PM","7:00 AM, 12:00 PM","7:00 AM, 12:00 PM"
65,"5:00 PM, 12:00 PM","7:00 PM (Español), 7:30 AM, 9:00 AM, 10:30 AM, 12:00 PM (Español)",12:00 PM,7:30 AM,12:00 PM,12:00 PM,8:00 PM (Español)
66,"9:00 AM, 5:00 PM (Anticipated Mass of Sunday)","7:30 AM, 9:00 AM, 10:30 AM, 12:00 PM, 1:30 PM (Spanish), 3:00 PM",12:00 PM,12:00 PM,12:00 PM,12:00 PM,12:00 PM
67,4:30 PM,"8:30 AM, 10:30 AM, 12:00 PM",8:30 AM,8:30 AM,8:30 AM,8:30 AM,8:30 AM
68,5:00 PM,"7:30 AM, 9:30 AM, 11:30 AM",NA,NA,NA,NA,NA
69,8:00 PM,"8:00 AM, 10:30 AM",9:30 AM,9:30 AM,9:30 AM,9:30 AM,9:30 AM
70,5:00 PM,9:00 AM & 11:30 AM,NA,NA,NA,NA,NA
71,NA,NA,NA,NA,7:00 PM,NA,NA
72,"12:10 PM, 5:00 PM","8:00 AM, 10:15 AM, 12:00 PM","12:10 PM, 7:30 PM",12:10 PM,12:10 PM,12:10 PM,12:10 PM
73,NA,7:00 PM,5:30 PM,5:30 PM,5:30 PM,8:00 PM,8:30 AM
74,4:30 PM,"11:00 AM, 6:00 PM",8:30 AM,NA,8:30 AM,8:30 AM,8:30 AM
75,NA,"{'English': '9:00 AM', 'Español': '11:00 AM', 'French/Creole': '1:00 PM'}",NA,NA,NA,NA,NA
76,5:00 PM,10:30 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM
77,5:00 PM,"7:30 AM, 9:30 AM, 11:30 AM",8:30 AM,8:30 AM,8:30 AM,8:30 AM,8:30 AM
78,NA,NA,NA,NA,NA,NA,NA
79,5:00 PM,"7:30 AM, 9:00 AM, 10:30 AM, 12:00 PM",NA,NA,NA,NA,NA
80,"8:30 AM, 5:00 PM (Sunday Vigil)","7:30 AM, 10:00 AM, 12:00 PM","7:00 AM, 12:10 PM","7:00 AM, 12:10 PM","7:00 AM, 12:10 PM","7:00 AM, 12:10 PM","7:00 AM, 12:10 PM"
81,NA,NA,NA,NA,NA,NA,NA
82,5:00 PM Bilingual,"8:00 AM English, 11:00 AM Español, 9:30 AM Bilingual (St. Augustine Church 170 Sussex Ave, Newark)",6:00 PM Spanish,7:30 AM English,6:00 PM Spanish,7:30 AM English,6:00 PM Spanish
83,NA,NA,NA,NA,NA,NA,NA
84,5:30 PM,"7:30 AM (Port), 9:00 AM (Port), 10:15 AM (Eng), 11:30 AM (Port)",9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM
85,"7:00 AM, 9:00 AM, 6:00 PM","8:00 AM (Italian), 9:00 AM (Spanish), 11:00 AM (English), 12:30 PM (English), 5:30 PM (English), 12:30 PM (1st Sunday of the month, St. Gerard Mass), 5:30 PM (Last Sunday of the month, French Mass)","7:00 AM, 9:00 AM, 5:30 PM","7:00 AM, 9:00 AM, 5:30 PM","7:00 AM, 9:00 AM, 5:30 PM","7:00 AM, 9:00 AM, 5:30 PM","7:00 AM, 9:00 AM, 5:30 PM"
86,NA,"7:00 AM (Spanish), 8:30 AM (English), 10:00 AM (Spanish), 11:30 AM (English), 1:00 PM (Spanish)","['8:00 AM (English)', '7:00 PM (Spanish)']","['8:00 AM (English)', '7:00 PM (Spanish)']","['8:00 AM (English)', '7:00 PM (Spanish)']","['8:00 AM (English)', '7:00 PM (Spanish)']","['8:00 AM (English)', '7:00 PM (Spanish)']"
87,10:30 AM,"{'Spanish': ['8:00 AM', '12:00 PM'], 'English': '10:00 AM'}",6:00 PM,6:00 PM,6:00 PM,6:00 PM,6:00 PM
88,7:30 AM,"9:00 AM, 10:30 AM, 12:00 PM",7:00 PM,7:30 AM,7:30 AM,7:30 AM,7:00 PM
89,3:00 PM - 4:00 PM,9:00 AM - 10:00 AM,NA,NA,NA,NA,NA
90,"{'English': ['4:00 PM: Missa em Inglês'], 'Portuguese': ['7:00 PM: Missa em Português']}","{'Portuguese': ['7:30 AM: Missa em Português', '9:00 AM: Missa em Português', '10:00 AM: Catequese para Adultos', '10:45 AM: Missa em Português', '6:00 PM: Missa em Português'], 'English': ['12:00 PM: Missa em Inglês']}","7:30 PM: Preparação para o Batismo (Second Monday of the month), 8:00 PM: Terço Masculino (Last Monday of the month)",NA,"7:30 PM: Missa seguida da Novena a Nossa Senhora do Perpétuo Socorro, 8:30 PM: Grupo de Oração Kairós",8:00 PM: Missa do Santíssimo (every Thursday),7:30 PM: Missa e Adoração ao Santíssimo (First Friday of the month)
91,"{'Morning': '8:00 AM', 'Evening': '6:30 PM'}","{'First Mass': '8:00 AM', 'Second Mass': '10:00 AM', 'Igbo Mass': '12:30 PM'}",8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM
92,5:00 PM,"8:30 AM English Mass, 9:30 AM Portugues Mass, 11:30 AM Spanish Mass, 1:00 PM",NA,8:00 PM Neocatechumenal Way,8:00 PM Neocatechumenal Way,"7:30 PM Portugues Mass, 8:00 PM Blessed Sacrament (1st Thursday of the month), 8:00 PM Prayer group",5:00 PM English Mass (no during Summer time)
93,"5:00 PM, 7:15 PM","8:30 AM, 10:00 AM, 12:00 PM",8:30 AM,8:30 AM,8:30 AM,8:30 AM,8:30 AM
94,"7:30 AM, 9:00 AM, 5:00 PM (Anticipated Mass)","7:30 AM, 9:00 AM (Spanish), 10:30 AM, 12:00 Noon","7:30 AM, 9:00 AM, 5:30 PM (English), 5:30 PM (Spanish)","7:30 AM, 9:00 AM, 5:30 PM (Spanish)","7:30 AM, 9:00 AM, 5:30 PM (English)","7:30 AM, 9:00 AM, 5:30 PM (Spanish)","7:30 AM, 9:00 AM, 5:30 PM (English)"
95,5:00 PM,"8:00 AM, 9:30 AM, 11:00 AM, 12:30 PM",NA,NA,NA,NA,NA
96,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,NA,NA,NA,NA,NA
98,"{'Morning': '8:00 AM', 'Evening': '5:00 PM'}","7:30 AM, 9:15 AM, 10:45 AM, 12:15 PM",NA,NA,NA,NA,NA
99,{'Vigil': '5:00 PM'},"7:30 AM, 10:00 AM, 12:00 PM",8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM
100,5:00 PM,"7:30 AM, 8:30 AM, 10:30 AM, 12:00 PM",8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM
101,"5:30 PM English, 7:00 PM Spanish","9:00 AM English, 10:30 AM English, 12:00 PM Spanish","9:00 AM English, 7:00 PM Spanish","9:00 AM English, 7:00 PM Spanish","9:00 AM English, 7:00 PM Spanish","9:00 AM English, 7:00 PM Spanish","9:00 AM English, 7:00 PM Spanish"
102,"5:30 PM - English Mass, 9:00 AM - English Mass","7:30 AM - English Mass, 9:30 AM - Korean Mass, 11:30 AM - English Mass, 1:30 PM - Spanish Mass, 5:30 PM - Korean Mass, 10:00 AM - 11:15 AM",NA,"7:30 PM - Korean Memorial Mass, 7:30 PM - Korean Praise and Healing Mass",8:00 PM - Spanish Mass,8:00 PM - Eucharistic Adoration,NA
103,"7:00 AM, 8:00 AM, 5:00 PM","7:30 AM, 9:30 AM, 11:00 AM (Italian), 12:30 PM (English), 6:00 PM (Portuguese)",NA,NA,NA,NA,"7:00 AM, 8:00 AM"
104,NA,11:00 AM,NA,NA,NA,NA,NA
105,"9:00 AM, 5:00 PM","8:30 AM, 10:30 AM, 12:00 PM","7:00 AM, 8:45 AM","7:00 AM, 8:45 AM","7:00 AM, 8:45 AM","7:00 AM, 8:45 AM","7:00 AM, 8:45 AM"
106,"{'Morning': '9:00 AM', 'Evening': '5:00 PM'}","{'English': ['9:00 AM', '1:00 PM'], 'Polish': '11:00 AM'}",9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM
107,NA,NA,"['7:30 AM', '7:00 PM']","['7:30 AM', '7:00 PM']","['7:30 AM', '7:00 PM']","['7:30 AM', '7:00 PM']","['7:30 AM', '7:00 PM']"
108,"5:00 PM, 9:00 AM (Daily Mass)","8:00 AM, 10:00 AM (Livestream), 12:00 PM, 5:00 PM, 1:30 PM (Spanish Mass)",7:30 AM,7:30 AM,7:30 AM,7:30 AM,7:30 AM
109,"{'Morning': '9:00 AM', 'Anticipation': '4:00 PM'}","{'Morning': ['8:00 AM', '10:00 AM', '12:00 PM']}",7:30 AM,7:30 AM,7:30 AM,7:30 AM,7:30 AM
110,5:30 PM,"7:30 AM, 9:30 AM, 11:30 AM, 1:00 PM (Spanish)",NA,NA,NA,NA,NA
111,5:30 PM,"8:00 AM, 9:30 AM, 11:00 AM, 12:30 PM, 3:00 PM (Spanish), 6:30 PM","['6:30 AM', '8:30 AM', '12:00 PM']","['6:30 AM', '8:30 AM', '12:00 PM']","['6:30 AM', '8:30 AM', '12:00 PM']","['6:30 AM', '8:30 AM', '12:00 PM']","['6:30 AM', '8:30 AM', '12:00 PM']"
112,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,NA,NA,NA,NA,NA
114,5:00 PM,"8:00 AM, 10:00 AM, 12:00 PM",8:45 AM,8:45 AM,8:45 AM,8:45 AM,8:45 AM
115,"{'Daily': '7:30 AM', 'Vigil': ['5:00 PM', '7:00 PM in Spanish']}","8:00 AM, 10:00 AM, 12:00 PM",7:30 AM,7:30 AM,7:30 AM,7:30 AM,7:30 AM
116,5:00 PM,"8:00 AM, 10:00 AM, 12:00 PM",5:00 PM,8:30 AM,8:30 AM,8:30 AM,12:00 PM
117,5:00 PM,"8:00 AM, 10:00 AM, 12:00 PM",8:30 AM,8:30 AM,10:00 AM,8:30 AM,"8:30 AM, 8:00 PM"
118,8:00 AM - 9:00 AM,8:00 AM - 12:00 PM,NA,NA,NA,NA,NA
119,5:00 PM,"8:00 AM, 10:00 AM, 12:00 PM","['7:00 AM', '8:30 AM']","['7:00 AM', '8:30 AM']","['7:00 AM', '8:30 AM']","['7:00 AM', '8:30 AM']","['7:00 AM', '8:30 AM']"
120,5:30 PM,"7:30 AM, 9:00 AM (Spanish), 10:30 AM, 12:00 PM, 5:00 PM",7:00 AM,7:00 AM,7:00 AM,7:00 AM,7:00 AM
121,9:00 AM,7:30 AM | 9:30 AM | 11:30 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM
122,"5:00 PM, 5:30 PM","8:00 AM, 10:00 AM, 11:30 AM, 12:00 PM",7:00 AM,7:00 AM,7:00 AM,7:00 AM,7:00 AM
123,5:00 PM,"8:00 AM, 10:00 AM, 12:00 PM",7:30 AM,7:30 AM,7:30 AM,7:30 AM,7:30 AM
124,NA,"7:30 AM, 9:00 AM, 10:30 AM, 12:00 PM, 5:00 PM",NA,NA,NA,NA,NA
125,5:30 PM,"8:00 AM, 10:00 AM, 12:00 PM",NA,NA,NA,NA,NA
126,NA,NA,NA,NA,NA,NA,NA
127,"{'Regular': '9:00 AM', 'Vigil': ['4:00 PM', '6:00 PM (Spanish)']}","8:45 AM, 10:30 AM (Spanish), 12:00 PM, 6:00 PM",9:00 AM,"{'Regular': '9:00 AM', 'Additional': '6:00 PM'}",9:00 AM,9:00 AM,9:00 AM
128,"8:30 AM (English), 4:00 PM (Espanol), 5:30 PM (English), 7:00 PM (Espanol)","9:00 AM (English), 11:00 AM (Espanol), 12:30 PM (Espanol)","8:30 AM (English), 7:00 PM (Espanol)","8:30 AM (English), 7:00 PM (Espanol)","8:30 AM (English), 7:00 PM (English)","8:30 AM (English), 7:00 PM (Espanol)","8:30 AM (English), 7:00 PM (Espanol)"
129,8:15 AM,"7:30 AM, 9:30 AM, 11:30 AM, 1:15 PM",NA,8:15 AM,8:15 AM,8:15 AM,8:15 AM
130,5:00 PM,"8:00 AM, 10:00 AM, 11:30 AM, 6:30 PM",NA,NA,NA,NA,NA
131,"5:30 PM, 12:00 PM","7:30 AM, 9:00 AM, 10:30 AM, 12:00 PM",7:00 AM,7:00 AM,7:00 AM,7:00 AM,7:00 AM
