ParishID,Adoration_Times,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday
193,"{""Monday"": ""8:30 AM to 9:30 AM"",""Tuesday"": ""8:30 AM to 9:30 AM"",""Wednesday"": ""8:30 AM to 9:30 AM"",""Thursday"": ""8:30 AM to 9:30 AM"",""Friday"": ""12:45 PM to 5:30 PM"",""Monday-Thursday"": ""6:00 PM to 9:00 PM""}",,,8:30 AM - 9:30 AM,8:30 AM - 9:30 AM,8:30 AM - 9:30 AM,8:30 AM - 9:30 AM,8:30 AM - 9:30 AM
194,"{""1st Sunday of the month"": ""after 11:00 AM Mass"",""Other"": ""12:00 PM""}",,11:00 AM,,,,,
195,"{""Friday"": ""7:00 P.M.""}",,,,,,,7:00 PM
196,,,,,,,,
197,,,,,,,,
198,,,,,,,,
199,"{""St. Teresa"": ""Wednesdays - 9:00 AM - 9:00 PM""}",,,,,9:00 AM,,
200,,,,,,,,
201,Tuesday at 5:00 PM,,,,5:00 PM,,,
202,,,,,,,,
203,"{""Friday"": ""12:30 PM - 4:40 PM""}",,,,,,,12:30 PM - 4:40 PM
204,"{""Wednesday"": ""9:00 AM - 7:00 PM"",""Friday"": ""9:30 AM - 1:00 PM""}",,,,,9:00 AM - 7:00 PM,,9:00 AM - 7:00 PM
205,,,,,,,,
206,"{""Holy Hours"": {""Wednesdays"": ""1:00 PM"",""Thursdays"": ""6:00 PM""},""Adoration Chapel"": ""24 hours a day""}",,,,,1:00 PM,1:00 PM,
207,,,,,,,,
208,"{""Wednesday"": ""6:00 PM"",""Thursday"": ""6:00 PM"",""Saturday"": ""6:00 PM"",""First Saturday of the month"": ""8:00 PM - 6:45 AM"",""Weekdays"": ""9:00 AM - 6:00 PM"",""Sunday"": ""9:00 AM - 3:00 PM""}",6:00 PM - 6:45 AM,6:00 PM - 6:45 AM,,,6:00 PM - 6:45 AM,6:00 PM - 6:45 AM,
209,,,,,,,,
210,,,,,,,,
211,"{""1st & 3rd Fridays"": ""9:00 AM to 4:45 PM""}",,,,,,,9:00 AM - 4:45 PM
212,,,,,,,,
213,,,,,,,,
214,,,,,,,,
215,"{""Sunday"": ""9:30 AM - 12:00 PM"",""Tuesday"": ""1:00 PM - 4:00 PM""}",,9:30 AM - 12:00 PM,,9:30 AM - 12:00 PM,,,
216,"{""First Friday"": [""9:00 AM - 5:30 PM""]}",,,,,,,9:00 AM - 5:30 PM
217,,,,,,,,
218,,,,,,,,
219,,,,,,,,
220,,,,,,,,
221,"{""Wednesday"": ""After Noon Mass to 8:00 PM"",""Sunday"": ""3:30 PM to 4:30 PM""}",,8:00 PM,,,8:00 PM,,
222,,,,,,,,
223,,,,,,,,
224,,,,,,,,
225,,,,,,,,
226,"{""Wednesday"": {""Start"": ""8:00 AM"",""End"": ""7:00 PM""}}",,,,,8:00 AM,,
227,,,,,,,,
228,,,,,,,,
229,"{""Monday"": ""Immediately following the 9:00 AM Mass until the Tuesday 9:00 AM Mass (24 continuous hours)"",""Tuesday"": ""Immediately following the 9:00 AM Mass until the 7:00 PM Mass, continues after the Mass until 10:00 PM (Last guardian hour \u2013 9:00 PM to 10:00 PM)"",""Wednesday"": ""Immediately following the 9:00 AM Mass until 10:00 PM"",""Thursday"": ""NA"",""Friday"": ""NA""}",,,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM
230,"{""Monday"": ""8:30 AM - 9:00 AM"",""Tuesday"": ""NA"",""Wednesday"": ""8:30 AM - 9:00 AM"",""Thursday"": ""NA"",""Friday"": ""8:30 AM - 9:00 AM""}",,,8:30 AM - 9:00 AM,8:30 AM - 9:00 AM,8:30 AM - 9:00 AM,8:30 AM - 9:00 AM,8:30 AM - 9:00 AM
