ParishID,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Language
90,"4:00 PM, 7:00 PM","7:30 AM, 9:00 AM, 10:00 AM, 10:45 AM, 6:00 PM, 12:00 PM","7:30 PM, 8:00 PM",,"7:30 PM, 8:30 PM",8:00 PM,7:30 PM,English
91,"8:00 AM, 6:30 PM","8:00 AM, 10:00 AM, 12:30 PM",8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,English
92,5:00 PM,"8:30 AM, 9:30 AM, 11:30 AM, 1:00 PM",,8:00 PM,8:00 PM,"7:30 PM, 8:00 PM, 8:00 PM",5:00 PM,"English, Spanish"
93,"5:00 PM, 7:15 PM","8:30 AM, 10:00 AM, 12:00 PM",8:30 AM,8:30 AM,8:30 AM,8:30 AM,8:30 AM,English
94,"7:30 AM, 9:00 AM, 5:00 PM","7:30 AM, 9:00 AM, 10:30 AM","7:30 AM, 9:00 AM, 5:30 PM, 5:30 PM","7:30 AM, 9:00 AM, 5:30 PM","7:30 AM, 9:00 AM, 5:30 PM","7:30 AM, 9:00 AM, 5:30 PM","7:30 AM, 9:00 AM, 5:30 PM","English, Spanish"
95,5:00 PM,"8:00 AM, 9:30 AM, 11:00 AM, 12:30 PM",,,,,,English
96,,,,,,,,English
97,,,,,,,,English
98,"8:00 AM, 5:00 PM","7:30 AM, 9:15 AM, 10:45 AM, 12:15 PM",,,,,,English
99,5:00 PM,"7:30 AM, 10:00 AM, 12:00 PM",8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,English
100,5:00 PM,"7:30 AM, 8:30 AM, 10:30 AM, 12:00 PM",8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,English
101,"5:30 PM, 7:00 PM","9:00 AM, 10:30 AM, 12:00 PM","9:00 AM, 7:00 PM","9:00 AM, 7:00 PM","9:00 AM, 7:00 PM","9:00 AM, 7:00 PM","9:00 AM, 7:00 PM","English, Spanish"
